spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
signers;MS;S;non;R;;P;to innovate;HassanSaad;innovate;signers innovate [MASK].;today;0.0685039684176445;signers innovate today.;quickly;0.0656570866703987;signers innovate quickly.;more;0.054050400853157;signers innovate more.
signers;MS;S;non;R;;P;to develop;HassanSaad;develop;signers develop [MASK].;skills;0.0444707237184047;signers develop skills.;them;0.0256813112646341;signers develop them.;confidence;0.0162500217556953;signers develop confidence.
signers;MS;S;non;R;;P;to manage;HassanSaad;manage;signers manage [MASK].;them;0.0398236587643623;signers manage them.;it;0.0387898199260234;signers manage it.;everything;0.0360257439315319;signers manage everything.
signers;MS;S;non;R;;P;to have;HassanSaad;have;signers have [MASK].;changed;0.0359576866030693;signers have changed.;problems;0.034513421356678;signers have problems.;declined;0.029415113851428;signers have declined.
signers;MS;S;non;R;;P;to instruct;HassanSaad;instruct;signers instruct [MASK].;them;0.1024907231330871;signers instruct them.;##s;0.061492059379816;signers instructs.;instructions;0.0589511319994926;signers instruct instructions.
signers;MS;S;non;R;;P;to guide;HassanSaad;guide;signers guide [MASK].;them;0.0657185986638069;signers guide them.;you;0.0289820693433284;signers guide you.;1;0.0265912823379039;signers guide 1.
signers;MS;S;non;R;;P;to perceive;HassanSaad;perceive;signers perceive [MASK].;this;0.1483719944953918;signers perceive this.;it;0.1111719161272049;signers perceive it.;them;0.0519772320985794;signers perceive them.
signers;MS;S;non;R;;P;to supervise;HassanSaad;supervise;signers supervise [MASK].;them;0.0678956732153892;signers supervise them.;work;0.0199429113417863;signers supervise work.;traffic;0.0181875154376029;signers supervise traffic.
signers;MS;S;non;R;;P;to do;HassanSaad;do;signers do [MASK].;not;0.6039254069328308;signers do not.;this;0.0387227460741996;signers do this.;that;0.03473362326622;signers do that.
signers;MS;S;non;R;;P;to produce;HassanSaad;produce;signers produce [MASK].;them;0.0271535143256187;signers produce them.;goods;0.017990905791521;signers produce goods.;beer;0.0151531687006354;signers produce beer.
signers;MS;S;non;R;;P;to feel;HassanSaad;feel;signers feel [MASK].;safe;0.0335245914757251;signers feel safe.;better;0.0280310213565826;signers feel better.;empowered;0.0244777165353298;signers feel empowered.
signers;MS;S;non;R;;P;to teache;HassanSaad;teache;signers teache [MASK].;it;0.0243375822901725;signers teache it.;1;0.0176435336470603;signers teache 1.;);0.0168002117425203;signers teache ).
signers;MS;S;non;R;;P;to lead;HassanSaad;lead;signers lead [MASK].;first;0.0419434681534767;signers lead first.;them;0.0329559184610843;signers lead them.;quickly;0.0297424010932445;signers lead quickly.
signers;MS;S;non;R;;P;to advise;HassanSaad;advise;signers advise [MASK].;otherwise;0.1178512647747993;signers advise otherwise.;caution;0.0870535150170326;signers advise caution.;this;0.0300032868981361;signers advise this.
oralists;MS;S;non;R;;P;to innovate;HassanSaad;innovate;oralists innovate [MASK].;today;0.1104127988219261;oralists innovate today.;too;0.0578400045633316;oralists innovate too.;themselves;0.0406396798789501;oralists innovate themselves.
oralists;MS;S;non;R;;P;to develop;HassanSaad;develop;oralists develop [MASK].;them;0.0497663877904415;oralists develop them.;teeth;0.0446226820349693;oralists develop teeth.;patience;0.0348607264459133;oralists develop patience.
oralists;MS;S;non;R;;P;to manage;HassanSaad;manage;oralists manage [MASK].;it;0.0945513695478439;oralists manage it.;this;0.0918025821447372;oralists manage this.;them;0.0818652510643005;oralists manage them.
oralists;MS;S;non;R;;P;to have;HassanSaad;have;oralists have [MASK].;failed;0.0544187314808368;oralists have failed.;died;0.0257723797112703;oralists have died.;problems;0.0256279706954956;oralists have problems.
oralists;MS;S;non;R;;P;to instruct;HassanSaad;instruct;oralists instruct [MASK].;them;0.0971969962120056;oralists instruct them.;themselves;0.0786330699920654;oralists instruct themselves.;patients;0.0598236843943595;oralists instruct patients.
oralists;MS;S;non;R;;P;to guide;HassanSaad;guide;oralists guide [MASK].;them;0.1389747112989425;oralists guide them.;you;0.0701901167631149;oralists guide you.;us;0.0402901098132133;oralists guide us.
oralists;MS;S;non;R;;P;to perceive;HassanSaad;perceive;oralists perceive [MASK].;this;0.1840495020151138;oralists perceive this.;it;0.1477565467357635;oralists perceive it.;that;0.0386718064546585;oralists perceive that.
oralists;MS;S;non;R;;P;to supervise;HassanSaad;supervise;oralists supervise [MASK].;them;0.0468533337116241;oralists supervise them.;it;0.0201883371919393;oralists supervise it.;children;0.0143015384674072;oralists supervise children.
oralists;MS;S;non;R;;P;to do;HassanSaad;do;oralists do [MASK].;not;0.4066512882709503;oralists do not.;this;0.1607049852609634;oralists do this.;it;0.0939673408865928;oralists do it.
oralists;MS;S;non;R;;P;to produce;HassanSaad;produce;oralists produce [MASK].;saliva;0.0949198231101036;oralists produce saliva.;them;0.0496967583894729;oralists produce them.;wine;0.0213110093027353;oralists produce wine.
oralists;MS;S;non;R;;P;to feel;HassanSaad;feel;oralists feel [MASK].;it;0.05370769277215;oralists feel it.;safe;0.0483262091875076;oralists feel safe.;better;0.0424855947494506;oralists feel better.
