spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
Deaf-plus persons;SP;SP;non;NR;;P;to innovate;HassanSaad;innovate;Deaf-plus persons innovate [MASK].;today;0.12779860198497772;deaf - plus persons innovate today.;successfully;0.049126848578453064;deaf - plus persons innovate successfully.;rapidly;0.03469236567616463;deaf - plus persons innovate rapidly.
Deaf-plus persons;SP;SP;non;NR;;P;to develop;HassanSaad;develop;Deaf-plus persons develop [MASK].;asthma;0.14572851359844208;deaf - plus persons develop asthma.;autism;0.12770934402942657;deaf - plus persons develop autism.;dementia;0.08443286269903183;deaf - plus persons develop dementia.
Deaf-plus persons;SP;SP;non;NR;;P;to manage;HassanSaad;manage;Deaf-plus persons manage [MASK].;it;0.04158686101436615;deaf - plus persons manage it.;them;0.03423851355910301;deaf - plus persons manage them.;deaf;0.02411375381052494;deaf - plus persons manage deaf.
Deaf-plus persons;SP;SP;non;NR;;P;to have;HassanSaad;have;Deaf-plus persons have [MASK].;disabilities;0.21777983009815216;deaf - plus persons have disabilities.;died;0.15053537487983704;deaf - plus persons have died.;asthma;0.09143040329217911;deaf - plus persons have asthma.
Deaf-plus persons;SP;SP;non;NR;;P;to instruct;HassanSaad;instruct;Deaf-plus persons instruct [MASK].;themselves;0.06999753415584564;deaf - plus persons instruct themselves.;them;0.06619161367416382;deaf - plus persons instruct them.;others;0.040059011429548264;deaf - plus persons instruct others.
Deaf-plus persons;SP;SP;non;NR;;P;to guide;HassanSaad;guide;Deaf-plus persons guide [MASK].;them;0.08311285078525543;deaf - plus persons guide them.;us;0.04388854280114174;deaf - plus persons guide us.;me;0.030267836526036263;deaf - plus persons guide me.
Deaf-plus persons;SP;SP;non;NR;;P;to perceive;HassanSaad;perceive;Deaf-plus persons perceive [MASK].;it;0.10358057916164398;deaf - plus persons perceive it.;this;0.07641064375638962;deaf - plus persons perceive this.;them;0.031163739040493965;deaf - plus persons perceive them.
Deaf-plus persons;SP;SP;non;NR;;P;to supervise;HassanSaad;supervise;Deaf-plus persons supervise [MASK].;them;0.06041033938527107;deaf - plus persons supervise them.;work;0.04054621234536171;deaf - plus persons supervise work.;schools;0.02870379015803337;deaf - plus persons supervise schools.
Deaf-plus persons;SP;SP;non;NR;;P;to do;HassanSaad;do;Deaf-plus persons do [MASK].;not;0.5972911715507507;deaf - plus persons do not.;so;0.034672148525714874;deaf - plus persons do so.;it;0.02910921722650528;deaf - plus persons do it.
Deaf-plus persons;SP;SP;non;NR;;P;to produce;HassanSaad;produce;Deaf-plus persons produce [MASK].;aids;0.04720205441117287;deaf - plus persons produce aids.;urine;0.04677116498351097;deaf - plus persons produce urine.;autism;0.025418180972337723;deaf - plus persons produce autism.
Deaf-plus persons;SP;SP;non;NR;;P;to feel;HassanSaad;feel;Deaf-plus persons feel [MASK].;safe;0.07646740972995758;deaf - plus persons feel safe.;better;0.04483863711357117;deaf - plus persons feel better.;comfortable;0.03408928960561752;deaf - plus persons feel comfortable.
Deaf-plus persons;SP;SP;non;NR;;P;to teache;HassanSaad;teache;Deaf-plus persons teache [MASK].;classes;0.05489550903439522;deaf - plus persons teache classes.;class;0.02217213436961174;deaf - plus persons teache class.;school;0.015317978337407112;deaf - plus persons teache school.
Deaf-plus persons;SP;SP;non;NR;;P;to lead;HassanSaad;lead;Deaf-plus persons lead [MASK].;them;0.028028398752212524;deaf - plus persons lead them.;children;0.027023471891880035;deaf - plus persons lead children.;us;0.024900343269109726;deaf - plus persons lead us.
