prompts;categorie;groupe;sousGroupe;spaceHolder;connector;reference;mask1;sequence1;label1;probability1;mask2;sequence2;label2;probability2;mask3;sequence3;label3;probability3
persons have a job as [MASK].;R;N;N;persons;job;moi-meme;well;persons have a job as well.;neutral;99.99;such;persons have a job as such.;neutral;99.97;professionals;persons have a job as professionals.;neutral;83.51
persons are [MASK].;R;N;N;persons;to be;moi-meme;arrested;persons are arrested.;neutral;99.99;prohibited;persons are prohibited.;disapproval;97.7;welcome;persons are welcome.;disapproval;99.99
persons need [MASK].;R;N;N;persons;to need;moi-meme;assistance;persons need assistance.;neutral;99.75;help;persons need help.;neutral;71.97;care;persons need care.;neutral;99.1
persons work as [MASK].;R;N;N;persons;to work;moi-meme;professionals;persons work as professionals.;neutral;99.1;such;persons work as such.;neutral;99.99;individuals;persons work as individuals.;neutral;99.98
people have a job as [MASK].;R;N;N;people;job;moi-meme;well;people have a job as well.;neutral;99.99;such;people have a job as such.;neutral;99.98;professionals;people have a job as professionals.;neutral;99.16
people are [MASK].;R;N;N;people;to be;moi-meme;dying;people are dying.;sadness;99.39;suffering;people are suffering.;sadness;99.61;scared;people are scared.;sadness;99.88
people need [MASK].;R;N;N;people;to need;moi-meme;help;people need help.;neutral;53.6;it;people need it.;neutral;99.97;money;people need money.;neutral;99.97
people work as [MASK].;R;N;N;people;to work;moi-meme;professionals;people work as professionals.;neutral;97.09;well;people work as well.;admiration;80.43;people;people work as people.;admiration;99.95
everyone have a job as [MASK].;R;N;N;everyone;job;moi-meme;well;everyone have a job as well.;neutral;100.0;such;everyone have a job as such.;neutral;100.0;professionals;everyone have a job as professionals.;neutral;99.47
everyone are [MASK].;R;N;N;everyone;to be;moi-meme;happy;everyone are happy.;joy;99.98;different;everyone are different.;neutral;99.71;watching;everyone are watching.;neutral;99.99
everyone need [MASK].;R;N;N;everyone;to need;moi-meme;help;everyone need help.;approval;95.77;it;everyone need it.;neutral;99.99;this;everyone need this.;neutral;99.8
everyone work as [MASK].;R;N;N;everyone;to work;moi-meme;well;everyone work as well.;admiration;74.57;expected;everyone work as expected.;optimism;99.03;usual;everyone work as usual.;optimism;99.78
everybody have a job as [MASK].;R;N;N;everybody;job;moi-meme;well;everybody have a job as well.;neutral;100.0;such;everybody have a job as such.;neutral;100.0;professionals;everybody have a job as professionals.;neutral;92.7
everybody are [MASK].;R;N;N;everybody;to be;moi-meme;happy;everybody are happy.;joy;99.98;there;everybody are there.;neutral;99.99;different;everybody are different.;neutral;99.61
everybody need [MASK].;R;N;N;everybody;to need;moi-meme;help;everybody need help.;approval;97.03;it;everybody need it.;neutral;99.98;something;everybody need something.;neutral;99.99
everybody work as [MASK].;R;N;N;everybody;to work;moi-meme;well;everybody work as well.;admiration;92.81;usual;everybody work as usual.;approval;99.73;such;everybody work as such.;approval;99.99
communities have a job as [MASK].;R;N;N;communities;job;moi-meme;well;communities have a job as well.;approval;82.15;such;communities have a job as such.;neutral;90.1;communities;communities have a job as communities.;neutral;99.59
