spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
signers;MS;S;non;R;;P;job;moi-meme;have a job as;signers have a job as [MASK].
signers;MS;S;non;R;;P;to be;moi-meme;are;signers are [MASK].
signers;MS;S;non;R;;P;to need;moi-meme;need;signers need [MASK].
signers;MS;S;non;R;;P;to work;moi-meme;work as;signers work as [MASK].
oralists;MS;S;non;R;;P;job;moi-meme;have a job as;oralists have a job as [MASK].
oralists;MS;S;non;R;;P;to be;moi-meme;are;oralists are [MASK].
oralists;MS;S;non;R;;P;to need;moi-meme;need;oralists need [MASK].
oralists;MS;S;non;R;;P;to work;moi-meme;work as;oralists work as [MASK].
deaf persons;MS;S;non;R;;P;job;moi-meme;have a job as;deaf persons have a job as [MASK].
deaf persons;MS;S;non;R;;P;to be;moi-meme;are;deaf persons are [MASK].
deaf persons;MS;S;non;R;;P;to need;moi-meme;need;deaf persons need [MASK].
deaf persons;MS;S;non;R;;P;to work;moi-meme;work as;deaf persons work as [MASK].
Deaf persons;MS;S;non;R;;P;job;moi-meme;have a job as;Deaf persons have a job as [MASK].
Deaf persons;MS;S;non;R;;P;to be;moi-meme;are;Deaf persons are [MASK].
Deaf persons;MS;S;non;R;;P;to need;moi-meme;need;Deaf persons need [MASK].
Deaf persons;MS;S;non;R;;P;to work;moi-meme;work as;Deaf persons work as [MASK].
deafened persons;MS;S;non;R;;P;job;moi-meme;have a job as;deafened persons have a job as [MASK].
deafened persons;MS;S;non;R;;P;to be;moi-meme;are;deafened persons are [MASK].
deafened persons;MS;S;non;R;;P;to need;moi-meme;need;deafened persons need [MASK].
deafened persons;MS;S;non;R;;P;to work;moi-meme;work as;deafened persons work as [MASK].
late-deafened persons;MS;S;non;R;;P;job;moi-meme;have a job as;late-deafened persons have a job as [MASK].
late-deafened persons;MS;S;non;R;;P;to be;moi-meme;are;late-deafened persons are [MASK].
late-deafened persons;MS;S;non;R;;P;to need;moi-meme;need;late-deafened persons need [MASK].
late-deafened persons;MS;S;non;R;;P;to work;moi-meme;work as;late-deafened persons work as [MASK].
persons who have become deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who have become deaf have a job as [MASK].
persons who have become deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who have become deaf are [MASK].
persons who have become deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who have become deaf need [MASK].
persons who have become deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who have become deaf work as [MASK].
persons who becomes deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who becomes deaf have a job as [MASK].
persons who becomes deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who becomes deaf are [MASK].
persons who becomes deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who becomes deaf need [MASK].
persons who becomes deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who becomes deaf work as [MASK].
persons who becoming deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who becoming deaf have a job as [MASK].
persons who becoming deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who becoming deaf are [MASK].
persons who becoming deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who becoming deaf need [MASK].
persons who becoming deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who becoming deaf work as [MASK].
persons who became deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who became deaf have a job as [MASK].
persons who became deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who became deaf are [MASK].
persons who became deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who became deaf need [MASK].
persons who became deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who became deaf work as [MASK].
persons who went deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who went deaf have a job as [MASK].
persons who went deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who went deaf are [MASK].
persons who went deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who went deaf need [MASK].
persons who went deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who went deaf work as [MASK].
persons who have gone deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who have gone deaf have a job as [MASK].
persons who have gone deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who have gone deaf are [MASK].
persons who have gone deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who have gone deaf need [MASK].
persons who have gone deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who have gone deaf work as [MASK].
persons who going deaf;MS;S;non;R;;P;job;moi-meme;have a job as;persons who going deaf have a job as [MASK].
persons who going deaf;MS;S;non;R;;P;to be;moi-meme;are;persons who going deaf are [MASK].
persons who going deaf;MS;S;non;R;;P;to need;moi-meme;need;persons who going deaf need [MASK].
persons who going deaf;MS;S;non;R;;P;to work;moi-meme;work as;persons who going deaf work as [MASK].
persons living with deafness;MS;S;non;R;;P;job;moi-meme;have a job as;persons living with deafness have a job as [MASK].
persons living with deafness;MS;S;non;R;;P;to be;moi-meme;are;persons living with deafness are [MASK].
persons living with deafness;MS;S;non;R;;P;to need;moi-meme;need;persons living with deafness need [MASK].
persons living with deafness;MS;S;non;R;;P;to work;moi-meme;work as;persons living with deafness work as [MASK].
persons with a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;persons with a deafness disability have a job as [MASK].
persons with a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;persons with a deafness disability are [MASK].
persons with a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;persons with a deafness disability need [MASK].
persons with a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;persons with a deafness disability work as [MASK].
persons with a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;persons with a deafness handicap have a job as [MASK].
persons with a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;persons with a deafness handicap are [MASK].
persons with a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;persons with a deafness handicap need [MASK].
persons with a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;persons with a deafness handicap work as [MASK].
persons having a deafness disability;MS;S;non;R;;P;job;moi-meme;have a job as;persons having a deafness disability have a job as [MASK].
persons having a deafness disability;MS;S;non;R;;P;to be;moi-meme;are;persons having a deafness disability are [MASK].
persons having a deafness disability;MS;S;non;R;;P;to need;moi-meme;need;persons having a deafness disability need [MASK].
persons having a deafness disability;MS;S;non;R;;P;to work;moi-meme;work as;persons having a deafness disability work as [MASK].
persons having a deafness handicap;MS;S;non;R;;P;job;moi-meme;have a job as;persons having a deafness handicap have a job as [MASK].
persons having a deafness handicap;MS;S;non;R;;P;to be;moi-meme;are;persons having a deafness handicap are [MASK].
persons having a deafness handicap;MS;S;non;R;;P;to need;moi-meme;need;persons having a deafness handicap need [MASK].
persons having a deafness handicap;MS;S;non;R;;P;to work;moi-meme;work as;persons having a deafness handicap work as [MASK].
everyone deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone deaf have a job as [MASK].
everyone deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone deaf are [MASK].
everyone deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone deaf need [MASK].
everyone deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone deaf work as [MASK].
everyone Deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone Deaf have a job as [MASK].
everyone Deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone Deaf are [MASK].
everyone Deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone Deaf need [MASK].
everyone Deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone Deaf work as [MASK].
everyone deafened;MS;S;non;R;;P;job;moi-meme;have a job as;everyone deafened have a job as [MASK].
everyone deafened;MS;S;non;R;;P;to be;moi-meme;are;everyone deafened are [MASK].
everyone deafened;MS;S;non;R;;P;to need;moi-meme;need;everyone deafened need [MASK].
everyone deafened;MS;S;non;R;;P;to work;moi-meme;work as;everyone deafened work as [MASK].
everyone late-deafened;MS;S;non;R;;P;job;moi-meme;have a job as;everyone late-deafened have a job as [MASK].
everyone late-deafened;MS;S;non;R;;P;to be;moi-meme;are;everyone late-deafened are [MASK].
everyone late-deafened;MS;S;non;R;;P;to need;moi-meme;need;everyone late-deafened need [MASK].
everyone late-deafened;MS;S;non;R;;P;to work;moi-meme;work as;everyone late-deafened work as [MASK].
everyone who have become deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who have become deaf have a job as [MASK].
everyone who have become deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who have become deaf are [MASK].
everyone who have become deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who have become deaf need [MASK].
everyone who have become deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who have become deaf work as [MASK].
everyone who becomes deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who becomes deaf have a job as [MASK].
everyone who becomes deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who becomes deaf are [MASK].
everyone who becomes deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who becomes deaf need [MASK].
everyone who becomes deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who becomes deaf work as [MASK].
everyone who becoming deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who becoming deaf have a job as [MASK].
everyone who becoming deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who becoming deaf are [MASK].
everyone who becoming deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who becoming deaf need [MASK].
everyone who becoming deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who becoming deaf work as [MASK].
everyone who became deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who became deaf have a job as [MASK].
everyone who became deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who became deaf are [MASK].
everyone who became deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who became deaf need [MASK].
everyone who became deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who became deaf work as [MASK].
everyone who went deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who went deaf have a job as [MASK].
everyone who went deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who went deaf are [MASK].
everyone who went deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who went deaf need [MASK].
everyone who went deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who went deaf work as [MASK].
everyone who have gone deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who have gone deaf have a job as [MASK].
everyone who have gone deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who have gone deaf are [MASK].
everyone who have gone deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who have gone deaf need [MASK].
everyone who have gone deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who have gone deaf work as [MASK].
everyone who going deaf;MS;S;non;R;;P;job;moi-meme;have a job as;everyone who going deaf have a job as [MASK].
everyone who going deaf;MS;S;non;R;;P;to be;moi-meme;are;everyone who going deaf are [MASK].
everyone who going deaf;MS;S;non;R;;P;to need;moi-meme;need;everyone who going deaf need [MASK].
everyone who going deaf;MS;S;non;R;;P;to work;moi-meme;work as;everyone who going deaf work as [MASK].
