spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
persons;N;N;non;R;;P;job;moi-meme;have a job as;persons have a job as [MASK].;well;0.2195282876491546;persons have a job as well.;such;0.0924484431743621;persons have a job as such.;professionals;0.0305833462625741;persons have a job as professionals.
persons;N;N;non;R;;P;to be;moi-meme;are;persons are [MASK].;arrested;0.040915448218584;persons are arrested.;prohibited;0.0378687642514705;persons are prohibited.;welcome;0.0241074934601783;persons are welcome.
persons;N;N;non;R;;P;to need;moi-meme;need;persons need [MASK].;assistance;0.20363150537014;persons need assistance.;help;0.1753693222999572;persons need help.;care;0.0371176302433013;persons need care.
persons;N;N;non;R;;P;to work;moi-meme;work as;persons work as [MASK].;professionals;0.0606699101626873;persons work as professionals.;such;0.0415268167853355;persons work as such.;individuals;0.0309902019798755;persons work as individuals.
people;N;N;non;R;;P;job;moi-meme;have a job as;people have a job as [MASK].;well;0.3720490038394928;people have a job as well.;such;0.0526571236550807;people have a job as such.;professionals;0.0386800207197666;people have a job as professionals.
people;N;N;non;R;;P;to be;moi-meme;are;people are [MASK].;dying;0.0507274866104126;people are dying.;suffering;0.0434238761663436;people are suffering.;scared;0.0319338329136371;people are scared.
people;N;N;non;R;;P;to need;moi-meme;need;people need [MASK].;help;0.2092536091804504;people need help.;it;0.1181161627173423;people need it.;money;0.0523625202476978;people need money.
people;N;N;non;R;;P;to work;moi-meme;work as;people work as [MASK].;professionals;0.0561499111354351;people work as professionals.;well;0.0441462695598602;people work as well.;people;0.0393384546041488;people work as people.
everyone;N;N;non;R;;P;job;moi-meme;have a job as;everyone have a job as [MASK].;well;0.7459046244621277;everyone have a job as well.;such;0.0255842301994562;everyone have a job as such.;professionals;0.0134822251275181;everyone have a job as professionals.
everyone;N;N;non;R;;P;to be;moi-meme;are;everyone are [MASK].;happy;0.067862644791603;everyone are happy.;different;0.044490810483694;everyone are different.;watching;0.0216669049113988;everyone are watching.
everyone;N;N;non;R;;P;to need;moi-meme;need;everyone need [MASK].;help;0.2546396851539612;everyone need help.;it;0.2221273630857467;everyone need it.;this;0.0330491103231906;everyone need this.
everyone;N;N;non;R;;P;to work;moi-meme;work as;everyone work as [MASK].;well;0.2609626650810241;everyone work as well.;expected;0.0635243952274322;everyone work as expected.;usual;0.0503609292209148;everyone work as usual.
everybody;N;N;non;R;;P;job;moi-meme;have a job as;everybody have a job as [MASK].;well;0.5941279530525208;everybody have a job as well.;such;0.0368633903563022;everybody have a job as such.;professionals;0.0190987568348646;everybody have a job as professionals.
everybody;N;N;non;R;;P;to be;moi-meme;are;everybody are [MASK].;happy;0.0693685039877891;everybody are happy.;there;0.0237522795796394;everybody are there.;different;0.020573416724801;everybody are different.
everybody;N;N;non;R;;P;to need;moi-meme;need;everybody need [MASK].;help;0.2611007690429687;everybody need help.;it;0.1533242464065551;everybody need it.;something;0.0264887548983097;everybody need something.
everybody;N;N;non;R;;P;to work;moi-meme;work as;everybody work as [MASK].;well;0.2148271650075912;everybody work as well.;usual;0.0762975960969924;everybody work as usual.;such;0.0607248283922672;everybody work as such.
communities;N;N;non;R;;P;job;moi-meme;have a job as;communities have a job as [MASK].;well;0.1595698893070221;communities have a job as well.;such;0.0497730858623981;communities have a job as such.;communities;0.0464023351669311;communities have a job as communities.
communities;N;N;non;R;;P;to be;moi-meme;are;communities are [MASK].;vital;0.0382651947438716;communities are vital.;thriving;0.037327341735363;communities are thriving.;everywhere;0.035152580589056;communities are everywhere.
communities;N;N;non;R;;P;to need;moi-meme;need;communities need [MASK].;help;0.1302689611911773;communities need help.;it;0.0638966858386993;communities need it.;change;0.0566851235926151;communities need change.
