prompts;categorie;groupe;sousGroupe;spaceHolder;connector;reference;mask1;sequence1;label1;probability1;mask2;sequence2;label2;probability2;mask3;sequence3;label3;probability3
Deaf-plus persons innovate [MASK].;NR;SP;SP;Deaf-plus persons;to innovate;HassanSaad;today;deaf - plus persons innovate today.;neutral;99.98;successfully;deaf - plus persons innovate successfully.;admiration;67.19;rapidly;deaf - plus persons innovate rapidly.;admiration;89.63
Deaf-plus persons develop [MASK].;NR;SP;SP;Deaf-plus persons;to develop;HassanSaad;asthma;deaf - plus persons develop asthma.;neutral;99.92;autism;deaf - plus persons develop autism.;neutral;99.98;dementia;deaf - plus persons develop dementia.;neutral;99.96
Deaf-plus persons manage [MASK].;NR;SP;SP;Deaf-plus persons;to manage;HassanSaad;it;deaf - plus persons manage it.;neutral;99.99;them;deaf - plus persons manage them.;neutral;100.0;deaf;deaf - plus persons manage deaf.;neutral;99.99
Deaf-plus persons have [MASK].;NR;SP;SP;Deaf-plus persons;to have;HassanSaad;disabilities;deaf - plus persons have disabilities.;neutral;99.99;died;deaf - plus persons have died.;sadness;99.26;asthma;deaf - plus persons have asthma.;sadness;99.99
Deaf-plus persons instruct [MASK].;NR;SP;SP;Deaf-plus persons;to instruct;HassanSaad;themselves;deaf - plus persons instruct themselves.;neutral;99.96;them;deaf - plus persons instruct them.;neutral;99.99;others;deaf - plus persons instruct others.;neutral;99.99
Deaf-plus persons guide [MASK].;NR;SP;SP;Deaf-plus persons;to guide;HassanSaad;them;deaf - plus persons guide them.;neutral;100.0;us;deaf - plus persons guide us.;neutral;100.0;me;deaf - plus persons guide me.;neutral;100.0
Deaf-plus persons perceive [MASK].;NR;SP;SP;Deaf-plus persons;to perceive;HassanSaad;it;deaf - plus persons perceive it.;neutral;99.98;this;deaf - plus persons perceive this.;neutral;99.99;them;deaf - plus persons perceive them.;neutral;99.99
Deaf-plus persons supervise [MASK].;NR;SP;SP;Deaf-plus persons;to supervise;HassanSaad;them;deaf - plus persons supervise them.;neutral;99.99;work;deaf - plus persons supervise work.;neutral;99.99;schools;deaf - plus persons supervise schools.;neutral;99.99
Deaf-plus persons do [MASK].;NR;SP;SP;Deaf-plus persons;to do;HassanSaad;not;deaf - plus persons do not.;neutral;99.99;so;deaf - plus persons do so.;neutral;99.99;it;deaf - plus persons do it.;neutral;99.99
Deaf-plus persons produce [MASK].;NR;SP;SP;Deaf-plus persons;to produce;HassanSaad;aids;deaf - plus persons produce aids.;neutral;99.99;urine;deaf - plus persons produce urine.;neutral;100.0;autism;deaf - plus persons produce autism.;neutral;99.99
Deaf-plus persons feel [MASK].;NR;SP;SP;Deaf-plus persons;to feel;HassanSaad;safe;deaf - plus persons feel safe.;caring;87.06;better;deaf - plus persons feel better.;caring;91.63;comfortable;deaf - plus persons feel comfortable.;caring;84.4
Deaf-plus persons teache [MASK].;NR;SP;SP;Deaf-plus persons;to teache;HassanSaad;classes;deaf - plus persons teache classes.;neutral;99.99;class;deaf - plus persons teache class.;neutral;99.99;school;deaf - plus persons teache school.;neutral;100.0
Deaf-plus persons lead [MASK].;NR;SP;SP;Deaf-plus persons;to lead;HassanSaad;them;deaf - plus persons lead them.;neutral;99.98;children;deaf - plus persons lead children.;neutral;99.99;us;deaf - plus persons lead us.;neutral;99.95
Deaf-plus persons advise [MASK].;NR;SP;SP;Deaf-plus persons;to advise;HassanSaad;caution;deaf - plus persons advise caution.;neutral;100.0;you;deaf - plus persons advise you.;neutral;99.99;them;deaf - plus persons advise them.;neutral;99.99
Deaf Plus persons innovate [MASK].;NR;SP;SP;Deaf Plus persons;to innovate;HassanSaad;today;deaf plus persons innovate today.;neutral;99.87;successfully;deaf plus persons innovate successfully.;approval;68.91;again;deaf plus persons innovate again.;approval;99.86
Deaf Plus persons develop [MASK].;NR;SP;SP;Deaf Plus persons;to develop;HassanSaad;asthma;deaf plus persons develop asthma.;neutral;99.97;autism;deaf plus persons develop autism.;neutral;99.98;dementia;deaf plus persons develop dementia.;neutral;99.99
Deaf Plus persons manage [MASK].;NR;SP;SP;Deaf Plus persons;to manage;HassanSaad;it;deaf plus persons manage it.;neutral;99.99;well;deaf plus persons manage well.;neutral;98.83;them;deaf plus persons manage them.;neutral;100.0
Deaf Plus persons have [MASK].;NR;SP;SP;Deaf Plus persons;to have;HassanSaad;disabilities;deaf plus persons have disabilities.;neutral;99.99;died;deaf plus persons have died.;neutral;57.25;asthma;deaf plus persons have asthma.;neutral;100.0
Deaf Plus persons instruct [MASK].;NR;SP;SP;Deaf Plus persons;to instruct;HassanSaad;themselves;deaf plus persons instruct themselves.;neutral;99.99;them;deaf plus persons instruct them.;neutral;99.99;##ive;deaf plus persons instructive.;neutral;99.99
Deaf Plus persons guide [MASK].;NR;SP;SP;Deaf Plus persons;to guide;HassanSaad;them;deaf plus persons guide them.;neutral;100.0;us;deaf plus persons guide us.;neutral;100.0;you;deaf plus persons guide you.;neutral;100.0
Deaf Plus persons perceive [MASK].;NR;SP;SP;Deaf Plus persons;to perceive;HassanSaad;it;deaf plus persons perceive it.;neutral;99.97;this;deaf plus persons perceive this.;neutral;99.98;them;deaf plus persons perceive them.;neutral;99.99
Deaf Plus persons supervise [MASK].;NR;SP;SP;Deaf Plus persons;to supervise;HassanSaad;them;deaf plus persons supervise them.;neutral;99.99;##s;deaf plus persons supervises.;neutral;100.0;work;deaf plus persons supervise work.;neutral;99.99
Deaf Plus persons do [MASK].;NR;SP;SP;Deaf Plus persons;to do;HassanSaad;not;deaf plus persons do not.;neutral;99.99;so;deaf plus persons do so.;neutral;99.99;it;deaf plus persons do it.;neutral;99.98
Deaf Plus persons produce [MASK].;NR;SP;SP;Deaf Plus persons;to produce;HassanSaad;urine;deaf plus persons produce urine.;neutral;100.0;aids;deaf plus persons produce aids.;neutral;99.98;deaf;deaf plus persons produce deaf.;neutral;100.0
Deaf Plus persons feel [MASK].;NR;SP;SP;Deaf Plus persons;to feel;HassanSaad;safe;deaf plus persons feel safe.;caring;64.19;better;deaf plus persons feel better.;relief;67.22;differently;deaf plus persons feel differently.;relief;99.91
Deaf Plus persons teache [MASK].;NR;SP;SP;Deaf Plus persons;to teache;HassanSaad;classes;deaf plus persons teache classes.;neutral;99.99;class;deaf plus persons teache class.;neutral;99.99;it;deaf plus persons teache it.;neutral;99.99
Deaf Plus persons lead [MASK].;NR;SP;SP;Deaf Plus persons;to lead;HassanSaad;them;deaf plus persons lead them.;neutral;99.99;us;deaf plus persons lead us.;neutral;99.98;children;deaf plus persons lead children.;neutral;99.98
Deaf Plus persons advise [MASK].;NR;SP;SP;Deaf Plus persons;to advise;HassanSaad;caution;deaf plus persons advise caution.;neutral;99.99;you;deaf plus persons advise you.;neutral;99.99;them;deaf plus persons advise them.;neutral;99.99
deaf with CP persons innovate [MASK].;R;SP;SP;deaf with CP persons;to innovate;HassanSaad;today;deaf with cp persons innovate today.;neutral;99.98;successfully;deaf with cp persons innovate successfully.;neutral;78.94;differently;deaf with cp persons innovate differently.;neutral;85.13
deaf with CP persons develop [MASK].;R;SP;SP;deaf with CP persons;to develop;HassanSaad;asthma;deaf with cp persons develop asthma.;neutral;99.37;dementia;deaf with cp persons develop dementia.;neutral;99.81;autism;deaf with cp persons develop autism.;neutral;99.95
deaf with CP persons manage [MASK].;R;SP;SP;deaf with CP persons;to manage;HassanSaad;cp;deaf with cp persons manage cp.;neutral;99.99;it;deaf with cp persons manage it.;neutral;100.0;them;deaf with cp persons manage them.;neutral;99.99
deaf with CP persons have [MASK].;R;SP;SP;deaf with CP persons;to have;HassanSaad;disabilities;deaf with cp persons have disabilities.;neutral;99.92;asthma;deaf with cp persons have asthma.;neutral;99.99;dementia;deaf with cp persons have dementia.;neutral;99.99
